---確認(Q)---
BRAQ-001,保存します。よろしいですか？
BRAQ-002,変更内容が保存されていません。前画面へ遷移してもよろしいですか？
BRAQ-003,削除します。よろしいですか？
BRAQ-004,同名のファイルが存在します。上書きしてもよろしいですか？<BR><BR>{0}
BRAQ-005,既にこのセンサス番号「{0}」のデータは登録されています。保存しますか？
BRAQ-006,個別結果表が存在しますが、削除してもよろしいですか？<BR>削除した場合は、個別結果表も削除されます。
BRAQ-007,選択した専門調査員を削除します。<BR>担当客体がいる場合、担当客体も削除されますがよろしいですか？
BRAQ-008,このセンサス番号は下記専門調査員の担当客体として既に登録されております。<BR>登録してもよろしいですか？<BR>ユーザID：{0}
BRAQ-009,基本エラーチェックを行います。よろしいですか？
BRAQ-010,追加エラーチェックを行います。よろしいですか？
BRAQ-011,個別結果表を作成します。一度作成済みの場合、再作成を行いますがよろしいですか？
BRAQ-012,調査票・個別結果表データを送信します。よろしいですか？
BRAQ-013,調査票・個別結果表データを受信します。よろしいですか？
BRAQ-014,個別結果表が存在しますが、電子調査票の修正をしてもよろしいですか？<BR>修正した場合は、個別結果表は削除されます。
BRAQ-015,個別結果表が存在しますが、電子調査票の取込をしてもよろしいですか？<BR>取込した場合は、個別結果表は削除されます。
BRAQ-016,個別結果表が存在しますが、中間集計表の取込をしてもよろしいですか？<BR>取込した場合は、個別結果表は削除されます。
BRAQ-017,個別結果表が存在しますが、電子調査票の再登録をしてもよろしいですか？<BR>再登録した場合は、個別結果表は削除されます。
BRAQ-018,調査票、個別結果表データのバックアップを行います。よろしいですか？
BRAQ-019,調査票、個別結果表データのレストアを行います。よろしいですか？
BRAQ-020,調査対象期間及びその前年の全ての月のデータが入力されていません。計算を行ってもよろしいですか？
BRAQ-021,再計算を行います。よろしいですか？
BRAQ-022,平均値作成を行います。よろしいですか？
BRAQ-023,プレプリント調査票を作成します。よろしいですか？
BRAQ-024,集計用テーブルにデータのコピー、平均値の代入を行います。よろしいですか？
BRAQ-025,再計算ありで保存します。よろしいですか？
BRAQ-026,再計算なしで保存します。よろしいですか？
BRAQ-027,修正前データを表示します。よろしいですか？
BRAQ-028,個別結果表ＣＳＶ出力を行います。よろしいですか？
BRAQ-029,集計結果表ＣＳＶ出力を行います。よろしいですか？
BRAQ-030,修正データが空白のデータがあります。保存を行ってもよろしいですか？
BRAQ-031,集計結果表データを下位工程へ還元します。よろしいですか？
BRAQ-032,経年個別結果表有無が空白または「無」の項目は還元資料に反映されません。よろしいですか？
BRAQ-033,還元資料の印刷を行います。よろしいですか？
BRAQ-034,還元資料の出力を行います。よろしいですか？
BRAQ-035,電子調査票ＣＳＶ出力を行います。よろしいですか？
BRAQ-036,労賃単価を反映します。よろしいですか？
BRAQ-037,{0}に下記のエラーが検出されました。<BR>エラーが検出された行を除いて取込処理を続行しますか？<BR>(※最大エラー件数は50件までしか表示されません。)<BR><BR>{1}<BR>
BRAQ-038,指定した期間及び取込データ名称の一致するデータが既に存在します。上書きしますか？
BRAQ-039,牛トレサデータのCSV出力を行います。よろしいですか？
BRAQ-040,「*」の表示している行の内容を更新します。よろしいですか？
BRAQ-041,牛トレサデータを削除します。よろしいですか？
BRAQ-042,牛トレサデータにより総括データを作成します。<BR>既存の「{0}」シートについては一度削除され新たに作成されますがよろしいですか。<BR>センサス番号：{1}
BRAQ-043,{0}年{1}月～{2}年{3}月のデータについて取り込みますか。既存の電子調査票の当該期間のデータは削除されますがよろしいですか？
BRAQ-044,選択した異動情報を電子調査票の出力対象外とします。よろしいですか？
BRAQ-045,指定した期間で重複するデータが存在しています。処理を続行しますか？
BRAQ-046,{0}年の個別結果表を削除後、一括登録を行います。よろしいですか？
BRAQ-047,異動情報の補正を終了し異動データの出力を行います。よろしいですか？
BRAQ-048,牛資産異動情報を取り込みます。よろしいですか？
BRAQ-050,範囲エラーチェックを行います。よろしいですか？
BRAQ-051,計算処理でエラーが発生しました。保存処理を実行しますか？
BRAQ-052,エラーチェック一覧を出力します。「基本エラーチェック」「追加エラーチェック」「範囲エラーチェック」が未実施の場合は各エラーチェックを実施して下さい。各エラーチェックを行わない場合、調査票エラーチェックリストは発行されません。
